

"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_on-1000-lsfs-client1.dstat.csv",,,,"Date:","29 Nov 2022 15:25:47 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-11 15:26:41,3.180,0.502,96.234,0.084,0,0,147456,1476042752,14052900864,35360768,790949888,0,0,
29-11 15:26:42,4.271,0.670,95.059,0,0,0,49152,1476243456,14052380672,35360768,790949888,0,0,
29-11 15:26:43,3.526,1.175,95.298,0,0,0,73728,1475911680,14052278272,35360768,790949888,0,0,
29-11 15:26:44,4.100,0.837,95.063,0,0,0,0,1476132864,14051848192,35360768,790949888,0,0,
29-11 15:26:45,3.451,1.178,95.286,0.084,0,0,221184,1473982464,14053691392,35368960,790949888,0,0,
29-11 15:26:46,2.752,1.001,96.163,0.083,0,0,106496,1474183168,14053138432,35368960,790953984,0,0,
29-11 15:26:47,3.604,1.844,94.468,0.084,0,0,114688,1475665920,14051254272,35377152,790958080,0,0,
29-11 15:26:48,1.256,0.586,98.157,0,0,0,0,1475887104,14050865152,35377152,790958080,0,0,
29-11 15:26:49,0.921,0.586,98.410,0.084,0,0,131072,1475874816,14050865152,35385344,790962176,0,0,
29-11 15:26:50,0.669,0.586,98.661,0.084,0,0,90112,1475874816,14050865152,35385344,790962176,0,0,
29-11 15:26:51,1.003,0.585,98.411,0,0,0,163840,1476390912,14050340864,35393536,790962176,0,0,
29-11 15:26:52,1.257,0.922,97.821,0,0,0,0,1476681728,14050000896,35393536,790962176,0,0,
29-11 15:26:53,1.334,0.584,97.998,0.083,0,0,163840,1476669440,14050000896,35401728,790966272,0,0,
29-11 15:26:54,2.824,0.831,96.262,0.083,0,0,122880,1476378624,14050127872,35409920,790970368,0,0,
29-11 15:26:55,1.750,0.833,97.417,0,0,0,221184,1476091904,14050320384,35418112,790974464,0,0,
29-11 15:26:56,3.503,1.084,95.329,0.083,0,0,13598720,1476431872,14049865728,35418112,790974464,0,0,
29-11 15:26:57,4.261,1.337,94.403,0,0,0,131072,1476644864,14049280000,35426304,790978560,0,0,
29-11 15:26:58,3.529,0.756,95.714,0,0,0,0,1477103616,14048567296,35426304,790978560,0,0,
29-11 15:26:59,2.106,0.674,97.136,0.084,0,0,65536,1477275648,14048137216,35426304,790978560,0,0,
29-11 15:27:00,3.523,0.923,95.470,0.084,0,0,172032,1477197824,14047850496,35442688,790974464,0,0,
29-11 15:27:01,3.940,1.257,94.803,0,0,0,139264,1477160960,14047555584,35442688,790982656,0,0,
29-11 15:27:02,4.017,1.004,94.979,0,0,0,49152,1477111808,14047326208,35442688,790982656,0,0,
29-11 15:27:03,3.350,1.424,95.142,0.084,0,0,122880,1477009408,14046965760,35450880,790986752,0,0,
29-11 15:27:04,2.022,0.590,97.388,0,0,0,0,1477226496,14046543872,35450880,790986752,0,0,
29-11 15:27:05,4.077,1.664,94.176,0.083,0,0,221184,1476898816,14046539776,35459072,790990848,0,0,
29-11 15:27:06,3.778,0.840,95.298,0.084,0,0,65536,1477087232,14045986816,35459072,790990848,0,0,
29-11 15:27:07,4.271,1.089,94.640,0,0,0,114688,1478594560,14044110848,35467264,790994944,0,0,
29-11 15:27:08,2.189,0.673,97.054,0.084,0,0,114688,1478258688,14044270592,35475456,790999040,0,0,
29-11 15:27:09,3.320,0.830,95.768,0.083,0,0,81920,1478455296,14043815936,35475456,790999040,0,0,
29-11 15:27:10,3.185,1.257,95.474,0.084,0,0,237568,1478406144,14043619328,35491840,790999040,0,0,
29-11 15:27:11,2.443,0.505,97.051,0,0,0,14442496,1478324224,14043324416,35500032,791011328,0,0,
29-11 15:27:12,3.856,0.838,95.306,0,0,0,0,1478537216,14042836992,35500032,791015424,0,0,
29-11 15:27:13,3.529,1.261,95.126,0.084,0,0,188416,1478434816,14042542080,35508224,791019520,0,0,
29-11 15:27:14,2.012,0.922,97.066,0,0,0,0,1478406144,14042345472,35508224,791019520,0,0,
29-11 15:27:15,1.754,0.668,97.494,0.084,0,0,212992,1478168576,14042431488,35524608,791023616,0,0,
29-11 15:27:16,1.006,0.419,98.491,0.084,0,0,155648,1478434816,14042165248,35524608,791023616,0,0,
29-11 15:27:17,1.252,0.751,97.997,0,0,0,131072,1480478720,14040109056,35532800,791027712,0,0,
29-11 15:27:18,1.511,0.504,97.985,0,0,0,0,1480728576,14039818240,35532800,791027712,0,0,
29-11 15:27:19,0.919,0.668,98.329,0.084,0,0,73728,1480454144,14040010752,35532800,791027712,0,0,
29-11 15:27:20,2.939,0.840,96.138,0.084,0,0,57344,1480683520,14039654400,35532800,791027712,0,0,
29-11 15:27:21,3.701,0.757,95.542,0,0,0,262144,1480925184,14039199744,35549184,791023616,0,0,
29-11 15:27:22,1.938,0.674,97.304,0.084,0,0,49152,1480572928,14039187456,35549184,791031808,0,0,
29-11 15:27:23,2.015,0.588,97.397,0,0,0,114688,1480781824,14038732800,35557376,791035904,0,0,
29-11 15:27:24,0.919,0.501,98.580,0,0,0,0,1480781824,14038732800,35557376,791035904,0,0,
29-11 15:27:25,1.423,0.586,97.908,0.084,0,0,122880,1477943296,14041571328,35557376,791035904,0,0,
29-11 15:27:26,1.170,0.585,98.162,0.084,0,0,163840,1478189056,14041313280,35565568,791040000,0,0,
29-11 15:27:27,1.415,0.916,97.669,0,0,0,12402688,1479733248,14039764992,35565568,791040000,0,0,
29-11 15:27:28,0.587,0.419,98.993,0,0,0,0,1479733248,14039764992,35565568,791040000,0,0,
29-11 15:27:29,3.521,1.509,94.887,0.084,0,0,122880,1480187904,14039052288,35573760,791044096,0,0,
29-11 15:27:30,1.768,0.505,97.727,0,0,0,49152,1481678848,14037307392,35573760,791044096,0,0,
29-11 15:27:31,1.333,0.750,97.833,0.083,0,0,262144,1481658368,14037307392,35590144,791048192,0,0,
29-11 15:27:32,1.679,1.008,97.313,0,0,0,0,1481641984,14037241856,35590144,791048192,0,0,
29-11 15:27:33,2.101,0.756,97.059,0.084,0,0,114688,1482117120,14036594688,35590144,791048192,0,0,
29-11 15:27:34,2.172,0.919,96.909,0,0,0,0,1482330112,14036107264,35590144,791048192,0,0,
29-11 15:27:35,2.757,0.919,96.324,0,0,0,122880,1479946240,14038233088,35598336,791052288,0,0,
29-11 15:27:36,1.931,0.672,97.313,0.084,0,0,163840,1480163328,14037811200,35598336,791052288,0,0,
29-11 15:27:37,1.506,0.586,97.908,0,0,0,172032,1481457664,14036504576,35606528,791056384,0,0,
29-11 15:27:38,2.087,0.668,97.245,0,0,0,0,1482252288,14035632128,35606528,791056384,0,0,
29-11 15:27:39,1.347,0.505,98.064,0.084,0,0,73728,1482182656,14035468288,35606528,791056384,0,0,
29-11 15:27:40,0.835,0.668,98.413,0.084,0,8192,122880,1482694656,14034952192,35618816,791048192,0,0,
29-11 15:27:41,1.004,0.502,98.494,0,0,0,212992,1482674176,14034952192,35627008,791060480,0,0,
29-11 15:27:42,3.167,1.333,95.500,0,0,0,11755520,1482616832,14034886656,35627008,791060480,0,0,
29-11 15:27:43,2.750,0.750,96.417,0.083,0,0,122880,1482563584,14034722816,35635200,791064576,0,0,
29-11 15:27:44,2.096,0.754,97.150,0,0,0,0,1482518528,14034493440,35635200,791064576,0,0,
29-11 15:27:45,2.435,0.756,96.809,0,0,0,73728,1481490432,14035320832,35635200,791064576,0,0,
29-11 15:27:46,2.343,0.669,96.904,0.084,0,0,253952,1481662464,14034964480,35651584,791068672,0,0,
