

"Host:","peer35",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-128k-smart-128k-lsfs-peer35.dstat.csv",,,,"Date:","17 Nov 2022 13:56:26 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 13:57:20,49.564,13.787,36.300,0.349,0,8192,52125696,784072704,12779024384,584318976,2053353472,0,0,
17-11 13:57:21,50.512,16.212,32.423,0.853,0,0,70033408,787197952,12748992512,584421376,2079703040,0,0,
17-11 13:57:22,50.825,14.686,32.178,2.310,0,8192,86884352,784912384,12744572928,584523776,2085687296,0,0,
17-11 13:57:23,52,12.667,35.333,0,0,0,0,785059840,12727025664,584523776,2103001088,0,0,
17-11 13:57:24,52.551,15.646,30.952,0.850,0,8192,124805120,786280448,12700221440,584691712,2127896576,0,0,
17-11 13:57:25,49.748,10.924,39.328,0,0,0,9609216,784928768,12688494592,584712192,2140725248,0,0,
17-11 13:57:26,50,14.214,34.281,1.505,0,0,70672384,786989056,12655157248,584781824,2171322368,0,0,
17-11 13:57:27,51.933,16.471,29.748,1.849,0,8192,104488960,785104896,12649164800,584937472,2178408448,0,0,
17-11 13:57:28,51.916,11.847,36.237,0,0,0,0,785780736,12631126016,584937472,2195496960,0,0,
17-11 13:57:29,10.811,2.703,86.486,0,0,0,0,784941056,12627779584,584937472,2199527424,0,0,
17-11 13:57:30,1.176,0.504,98.151,0.168,0,0,90112,785203200,12627513344,584941568,2199527424,0,0,
17-11 13:57:31,2.353,0.672,96.975,0,0,0,0,787517440,12625190912,584941568,2199535616,0,0,
17-11 13:57:32,0.839,0.336,98.490,0.336,0,0,253952,787517440,12625190912,584949760,2199527424,0,0,
17-11 13:57:33,1.005,0.168,98.827,0,0,0,0,787509248,12625190912,584949760,2199535616,0,0,
17-11 13:57:34,14.359,3.077,82.564,0,0,0,196608,787759104,12624932864,584949760,2199543808,0,0,
17-11 13:57:35,11.486,2.872,85.473,0.169,0,0,81920,787759104,12624932864,584949760,2199543808,0,0,
17-11 13:57:36,1.678,0.503,97.819,0,0,0,0,787750912,12624932864,584949760,2199552000,0,0,
17-11 13:57:37,21.090,4.394,74.517,0,0,0,0,786194432,12626481152,584949760,2199560192,0,0,
17-11 13:57:38,3.821,1.329,94.850,0,0,0,0,786460672,12626214912,584949760,2199560192,0,0,
17-11 13:57:39,2.337,0.668,96.995,0,0,0,65536,786477056,12626198528,584957952,2199552000,0,0,
17-11 13:57:40,14.948,2.921,82.131,0,0,0,0,786452480,12626214912,584957952,2199560192,0,0,
17-11 13:57:41,2.020,0.505,97.138,0.337,0,0,147456,786440192,12626223104,584962048,2199560192,0,0,
17-11 13:57:42,3.046,1.015,95.939,0,0,0,65536,786440192,12626223104,584962048,2199560192,0,0,
17-11 13:57:43,1.686,0.169,98.145,0,0,0,0,786440192,12626223104,584962048,2199560192,0,0,
17-11 13:57:44,6.336,2.055,91.610,0,0,0,65536,786440192,12626223104,584962048,2199560192,0,0,
17-11 13:57:45,0.843,0.506,98.651,0,0,0,0,786440192,12626223104,584962048,2199560192,0,0,
17-11 13:57:46,7.167,1.500,91,0.333,0,0,155648,786436096,12626223104,584966144,2199560192,0,0,
17-11 13:57:47,25.835,6.678,67.487,0,0,0,540672,785911808,12626739200,584966144,2199568384,0,0,
