

"Host:","peer32",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-128k-smart-128k-lsfs-peer32.dstat.csv",,,,"Date:","17 Nov 2022 13:56:22 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 13:57:16,51.667,16.667,28.833,2.833,0,8192,182181888,789438464,12615245824,598880256,2189066240,0,0,
17-11 13:57:17,53.177,13.378,33.278,0.167,0,0,21618688,792064000,12595441664,598904832,2205962240,0,0,
17-11 13:57:18,47.892,14.840,35.919,1.349,0,8192,178249728,790319104,12565778432,599130112,2236420096,0,0,
17-11 13:57:19,53.488,11.130,35.216,0.166,0,0,17293312,789549056,12564197376,599142400,2238590976,0,0,
17-11 13:57:20,52.389,14.676,31.570,1.365,0,8192,87064576,790466560,12529262592,599269376,2272055296,0,0,
17-11 13:57:21,48.370,13.551,36.021,2.058,0,16384,104767488,789520384,12529745920,599425024,2271674368,0,0,
17-11 13:57:22,53.559,13.559,32.881,0,0,0,8814592,791851008,12509876224,599441408,2289086464,0,0,
17-11 13:57:23,49.564,13.962,35.777,0.698,0,0,99295232,791494656,12491526144,599568384,2307145728,0,0,
17-11 13:57:24,47.899,14.958,36.807,0.336,0,0,30121984,790769664,12472885248,599592960,2326138880,0,0,
17-11 13:57:25,50.687,14.089,34.536,0.687,0,8192,61243392,790814720,12442943488,599670784,2355347456,0,0,
17-11 13:57:26,51.852,13.973,32.492,1.684,0,0,114114560,790654976,12439306240,599814144,2358583296,0,0,
17-11 13:57:27,54.104,13.568,32.161,0.168,0,0,21200896,792948736,12419653632,599855104,2375491584,0,0,
17-11 13:57:28,14.908,4.188,80.402,0.503,0,0,21422080,791777280,12415008768,599887872,2381103104,0,0,
17-11 13:57:29,0.838,0.670,98.492,0,0,0,0,792100864,12414685184,599887872,2381103104,0,0,
17-11 13:57:30,1.338,0.502,98.161,0,0,0,40960,792043520,12414742528,599887872,2381103104,0,0,
