

"Host:","peer39",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-128k-smart-64k-lsfs-peer39.dstat.csv",,,,"Date:","17 Nov 2022 16:31:04 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 16:31:56,8.641,2.685,88.507,0.168,0,0,43393024,1591898112,12832436224,49823744,1852878848,0,0,
17-11 16:31:57,7.986,2.719,88.955,0.340,0,8192,130580480,1588555776,12823965696,50098176,1863782400,0,0,
17-11 16:31:58,8.612,2.759,88.545,0.084,0,0,106496,1585553408,12816105472,50098176,1874534400,0,0,
17-11 16:31:59,6.655,2.133,90.870,0.341,0,8192,85614592,1590898688,12800770048,50225152,1884393472,0,0,
17-11 16:32:00,9.174,2.335,87.573,0.917,0,0,69836800,1588375552,12792233984,50380800,1894699008,0,0,
17-11 16:32:01,8.156,2.209,89.635,0,0,0,57344,1586126848,12782465024,50380800,1906663424,0,0,
17-11 16:32:02,8.136,2.288,87.034,2.542,0,8192,85819392,1588125696,12771262464,50475008,1915846656,0,0,
17-11 16:32:03,8.347,2.782,86.341,2.530,0,0,120938496,1586892800,12759396352,50638848,1927852032,0,0,
17-11 16:32:04,8.340,2.949,88.543,0.168,0,0,253952,1586368512,12748423168,50638848,1939193856,0,0,
17-11 16:32:05,8.044,2.794,88.738,0.423,0,0,17686528,1588936704,12734140416,50663424,1950695424,0,0,
17-11 16:32:06,8.397,2.205,87.786,1.612,0,8192,91054080,1592041472,12720467968,50847744,1960656896,0,0,
17-11 16:32:07,8.051,2.373,89.576,0,0,0,0,1586614272,12713824256,50847744,1972731904,0,0,
17-11 16:32:08,8.027,2.508,89.298,0.167,0,0,311296,1585430528,12704432128,50855936,1983107072,0,0,
17-11 16:32:09,8.158,2.775,85.618,3.448,0,8192,163274752,1592348672,12687220736,51105792,1992724480,0,0,
17-11 16:32:10,7.228,2.551,90.136,0.085,0,0,114688,1587531776,12680388608,51105792,2003894272,0,0,
17-11 16:32:11,6.667,3.291,89.620,0.422,0,81920,53526528,1589927936,13734088704,544768,1019764736,0,0,
17-11 16:32:12,1.998,1.166,96.253,0.583,0,10002432,212992,1595510784,14208303104,4550656,556683264,0,0,
17-11 16:32:13,6.145,2.104,90.067,1.684,0,301383680,65536,1596035072,14056890368,5001216,706924544,0,0,
17-11 16:32:14,1.010,0.589,98.232,0.168,0,16384,352256,1596014592,14056890368,5017600,706928640,0,0,
17-11 16:32:15,25.464,5.818,66.779,1.939,0,424804352,0,1595203584,13846802432,7643136,915189760,0,0,
