

"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-128k-smart-32k-lsfs-client1.dstat.csv",,,,"Date:","17 Nov 2022 15:53:50 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 15:54:42,6.722,2.075,90.788,0.415,0,8192,150724608,1594814464,13028020224,49262592,1663250432,0,0,
17-11 15:54:43,7.161,1.095,91.660,0.084,0,0,17489920,1594929152,13020626944,49295360,1670045696,0,0,
17-11 15:54:44,5.823,2.363,91.814,0,0,0,180224,1593446400,13013581824,49303552,1678512128,0,0,
17-11 15:54:45,5.777,1.699,92.438,0.085,0,0,49152,1595961344,13003534336,49303552,1685934080,0,0,
17-11 15:54:46,7.494,2.415,89.592,0.500,0,8192,146513920,1597366272,12993990656,49537024,1693044736,0,0,
17-11 15:54:47,8.493,2.581,88.843,0.083,0,0,17432576,1603891200,12979310592,49569792,1701044224,0,0,
17-11 15:54:48,7.349,2.477,90.173,0,0,0,81920,1602039808,12973023232,49569792,1709096960,0,0,
17-11 15:54:49,7,2.333,90.583,0.083,0,0,8798208,1602801664,12964270080,49586176,1717022720,0,0,
17-11 15:54:50,6.276,1.925,91.632,0.167,0,8192,56377344,1604612096,12954484736,49704960,1724657664,0,0,
17-11 15:54:51,7.660,2.082,90.175,0.083,0,0,21594112,1604067328,12947116032,49754112,1732251648,0,0,
17-11 15:54:52,6.723,1.849,91.429,0,0,0,114688,1602748416,12940500992,49762304,1740087296,0,0,
17-11 15:54:53,6.376,1.846,91.611,0.168,0,0,21446656,1602760704,12933201920,49811456,1747189760,0,0,
17-11 15:54:54,7.131,2.488,90.050,0.332,0,0,111927296,1605365760,12922179584,50032640,1754890240,0,0,
17-11 15:54:55,7.167,2.750,90,0.083,0,8192,122880,1603846144,12915757056,50040832,1762701312,0,0,
17-11 15:54:56,6.639,2.185,91.176,0,0,0,114688,1604239360,12907524096,50040832,1770479616,0,0,
17-11 15:54:57,4.254,2.752,92.661,0.334,0,4669440,62152704,1609322496,14203461632,1839104,552423424,0,0,
17-11 15:54:58,13.054,3.180,82.008,1.757,0,363028480,172032,1608851456,14023503872,1986560,732672000,0,0,
17-11 15:54:59,26.325,6.897,64.929,1.850,0,430579712,106496,1609678848,13806571520,2572288,948117504,0,0,
17-11 15:55:00,26.262,5.988,67.237,0.513,0,89276416,188416,1608716288,13762977792,5459968,989696000,0,0,
17-11 15:55:01,28.180,6.484,65.087,0.249,0,8249344,106496,1607720960,13759574016,8110080,991297536,0,0,
17-11 15:55:02,25.790,6.576,67.635,0,0,3538944,57344,1608159232,13758132224,8110080,992301056,0,0,
17-11 15:55:03,27.940,6.005,66.055,0,0,4202496,155648,1606688768,13757136896,8118272,994500608,0,0,
17-11 15:55:04,27.722,6.114,66.080,0.084,0,3334144,73728,1605541888,13756628992,8118272,996139008,0,0,
17-11 15:55:05,28.114,5.640,66.162,0.084,0,22454272,90112,1606516736,13743890432,8556544,1007333376,0,0,
17-11 15:55:06,27.149,6.128,66.638,0.085,0,9658368,180224,1609134080,13736910848,8769536,1011462144,0,0,
17-11 15:55:07,26.962,5.973,67.065,0,0,3235840,49152,1608421376,13735411712,8896512,1013329920,0,0,
17-11 15:55:08,27.434,5.843,66.723,0,0,2244608,81920,1607831552,13734621184,8896512,1014308864,0,0,
17-11 15:55:09,28.405,6.146,65.449,0,0,3973120,196608,1607249920,13733789696,8916992,1015627776,0,0,
17-11 15:55:10,25.406,6.672,67.836,0.086,0,4251648,106496,1606213632,13731950592,8945664,1018437632,0,0,
17-11 15:55:11,27.057,6.107,66.836,0,0,4210688,196608,1604202496,13731442688,8962048,1020891136,0,0,
17-11 15:55:12,25.150,7.186,67.665,0,0,3465216,49152,1603403776,13730643968,8962048,1022423040,0,0,
17-11 15:55:13,27.101,5.232,67.581,0.086,0,5349376,409600,1604526080,13726941184,10063872,1023885312,0,0,
17-11 15:55:14,27.011,5.758,67.231,0,0,2662400,262144,1604124672,13725675520,10080256,1025515520,0,0,
17-11 15:55:15,27.133,5.887,66.980,0,0,491520,122880,1606037504,13722914816,10088448,1026330624,0,0,
17-11 15:55:16,26.723,5.787,67.319,0.170,0,4849664,172032,1585815552,13740953600,10280960,1028313088,0,0,
17-11 15:55:17,25.298,5.707,68.995,0,0,40960,49152,1586163712,13740118016,10297344,1028763648,0,0,
17-11 15:55:18,27.159,5.399,67.359,0.083,0,81920,770048,1586405376,13739794432,10354688,1028763648,0,0,
17-11 15:55:19,23.969,6.014,70.017,0,0,0,196608,1586655232,13739528192,10362880,1028767744,0,0,
