

"Host:","client1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-128k-smart-96k-lsfs-client1.dstat.csv",,,,"Date:","17 Nov 2022 13:19:48 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 13:20:40,0.925,0.589,98.402,0.084,0,2375680,98304,1573335040,14171860992,3739648,618508288,0,0,
17-11 13:20:41,1.835,1.168,96.914,0.083,0,8404992,57344,1573068800,14167834624,4276224,622088192,0,0,
17-11 13:20:42,1.505,0.585,97.659,0.251,0,5029888,49152,1573826560,14164283392,6791168,622088192,0,0,
17-11 13:20:43,13.552,3.114,82.323,1.010,0,219594752,139264,1569341440,14058926080,6819840,731869184,0,0,
17-11 13:20:44,0.924,0.840,98.237,0,0,0,49152,1569341440,14058926080,6819840,731869184,0,0,
17-11 13:20:45,11.007,2.730,85.495,0.768,0,152731648,229376,1566760960,13986009088,8019968,806031360,0,0,
17-11 13:20:46,31.170,6.832,60.803,1.196,0,234897408,98304,1571340288,13864103936,8540160,922820608,0,0,
17-11 13:20:47,22.473,4.094,73.183,0.251,0,70361088,188416,1567010816,13832032256,8679424,959045632,0,0,
17-11 13:20:48,1.334,1.001,97.581,0.083,0,24576,221184,1566998528,13832024064,8695808,959049728,0,0,
17-11 13:20:49,1.843,0.921,97.236,0,0,966656,114688,1567649792,13831008256,8704000,959389696,0,0,
17-11 13:20:50,0.759,0.337,98.904,0,0,0,360448,1567707136,13830701056,8720384,959561728,0,0,
17-11 13:20:51,10.152,2.200,87.479,0.169,0,24100864,114688,1567006720,13819838464,8736768,971087872,0,0,
17-11 13:20:52,10.033,2.425,87.458,0.084,0,11657216,49152,1568800768,13811646464,8753152,977408000,0,0,
17-11 13:20:53,1.511,0.588,97.901,0,0,16384,147456,1569034240,13811331072,8765440,977436672,0,0,
17-11 13:20:54,23.129,4.878,71.657,0.336,0,26624000,49152,1567535104,13800185856,8765440,990040064,0,0,
17-11 13:20:55,31.378,6.463,61.990,0.170,0,23126016,139264,1570893824,13785296896,8773632,1001566208,0,0,
17-11 13:20:56,1.258,0.671,98.070,0,0,671744,98304,1572597760,13782679552,8892416,1002323968,0,0,
17-11 13:20:57,1.341,1.090,97.569,0,0,147456,172032,1573625856,13781348352,8900608,1002618880,0,0,
17-11 13:20:58,6.035,1.425,92.456,0.084,0,1753088,122880,1573253120,13780840448,8904704,1003495424,0,0,
17-11 13:20:59,1.174,0.754,98.072,0,0,8192,90112,1573240832,13780815872,8916992,1003503616,0,0,
17-11 13:21:00,26.153,5.951,67.812,0.084,0,8118272,237568,1571487744,13779025920,9011200,1006952448,0,0,
17-11 13:21:01,10.860,2.339,86.717,0.084,0,4431872,147456,1571291136,13776273408,9691136,1009025024,0,0,
17-11 13:21:02,2.343,1.088,96.485,0.084,0,622592,57344,1571237888,13775990784,10002432,1009025024,0,0,
17-11 13:21:03,5.344,1.442,93.215,0,0,983040,114688,1571504128,13775216640,10010624,1009520640,0,0,
17-11 13:21:04,0.757,0.505,98.654,0.084,0,0,73728,1571995648,13774708736,10018816,1009528832,0,0,
17-11 13:21:05,17.160,3.635,79.205,0,0,3457024,57344,1572618240,13773713408,10022912,1009897472,0,0,
17-11 13:21:06,4.037,1.177,94.701,0.084,0,303104,163840,1573679104,13771128832,10031104,1011408896,0,0,
17-11 13:21:07,0.841,0.589,98.570,0,0,565248,114688,1572925440,13771595776,10313728,1011417088,0,0,
17-11 13:21:08,15.495,3.387,81.033,0.085,0,2613248,745472,1573396480,13769789440,10366976,1012695040,0,0,
17-11 13:21:09,1.424,0.670,97.906,0,0,8192,106496,1573392384,13769789440,10371072,1012695040,0,0,
17-11 13:21:10,12.985,2.361,84.570,0.084,0,1056768,196608,1573392384,13769789440,10387456,1012678656,0,0,
17-11 13:21:11,5.709,1.679,92.611,0,0,475136,163840,1572614144,13769773056,10395648,1013465088,0,0,
17-11 13:21:12,1.675,0.838,97.404,0.084,0,81920,57344,1572659200,13769699328,10412032,1013456896,0,0,
17-11 13:21:13,27.379,5.593,66.945,0.083,0,950272,303104,1572851712,13769158656,10432512,1013780480,0,0,
17-11 13:21:14,11.252,2.369,86.379,0,0,172032,49152,1573072896,13768667136,10432512,1014050816,0,0,
17-11 13:21:15,2.158,0.830,96.929,0.083,0,196608,57344,1571442688,13770199040,10432512,1014149120,0,0,
17-11 13:21:16,1.843,1.508,96.650,0,0,32768,57344,1573892096,13767733248,10432512,1014165504,0,0,
17-11 13:21:17,1.424,0.503,98.074,0,0,0,262144,1573478400,13768134656,10440704,1014169600,0,0,
17-11 13:21:18,18.813,4.599,76.505,0.084,0,663552,139264,1573568512,13767884800,10448896,1014321152,0,0,
17-11 13:21:19,1.340,0.503,98.157,0,0,0,237568,1573388288,13767868416,10457088,1014509568,0,0,
17-11 13:21:20,1.092,0.504,98.321,0.084,0,0,65536,1573396480,13767860224,10457088,1014509568,0,0,
17-11 13:21:21,30.120,5.852,64.028,0,0,581632,278528,1573777408,13767344128,10473472,1014628352,0,0,
17-11 13:21:22,1.504,1.086,97.327,0.084,0,0,8192,1573068800,13767876608,10473472,1014804480,0,0,
17-11 13:21:23,1.839,0.836,97.157,0.167,0,8192,253952,1573068800,13767876608,10485760,1014792192,0,0,
17-11 13:21:24,14.250,2.698,82.968,0.084,0,98304,49152,1573548032,13767335936,10485760,1014853632,0,0,
17-11 13:21:25,1.255,0.753,97.992,0,0,229376,163840,1570312192,13770440704,10493952,1014976512,0,0,
17-11 13:21:26,19.016,4.337,76.564,0.083,0,172032,49152,1573330944,13767409664,10493952,1014988800,0,0,
17-11 13:21:27,9.375,2.618,88.007,0,0,8192,221184,1573052416,13767610368,10502144,1015058432,0,0,
17-11 13:21:28,0.671,0.838,98.407,0.084,0,0,32768,1573056512,13767593984,10502144,1015070720,0,0,
17-11 13:21:29,22.492,5.351,72.074,0.084,0,303104,163840,1572978688,13767626752,10547200,1015070720,0,0,
17-11 13:21:30,1.257,0.419,98.324,0,0,73728,163840,1572343808,13768134656,10584064,1015160832,0,0,
17-11 13:21:31,1.594,0.503,97.819,0.084,0,8192,204800,1572552704,13767860224,10592256,1015214080,0,0,
17-11 13:21:32,31.387,6.599,62.014,0,0,393216,8192,1572659200,13767602176,10592256,1015349248,0,0,
17-11 13:21:33,22.072,4.718,73.210,0,0,90112,221184,1573314560,13766828032,10600448,1015459840,0,0,
17-11 13:21:34,1.175,0.420,98.405,0,0,0,16384,1573314560,13766828032,10600448,1015459840,0,0,
17-11 13:21:35,11.887,2.660,85.370,0.083,0,180224,114688,1572990976,13767086080,10600448,1015525376,0,0,
17-11 13:21:36,7.071,1.684,91.162,0.084,0,32768,0,1574457344,13765578752,10616832,1015549952,0,0,
17-11 13:21:37,1.173,0.586,98.241,0,0,0,237568,1573695488,13766328320,10625024,1015554048,0,0,
17-11 13:21:38,12.030,2.673,85.297,0,0,0,24576,1573969920,13766053888,10625024,1015554048,0,0,
17-11 13:21:39,1.756,1.003,97.157,0.084,0,8192,573440,1573912576,13766086656,10645504,1015558144,0,0,
17-11 13:21:40,9.380,2.010,88.526,0.084,0,0,122880,1573920768,13766078464,10653696,1015549952,0,0,
17-11 13:21:41,1.674,0.669,97.657,0,0,32768,253952,1574166528,13765795840,10678272,1015562240,0,0,
17-11 13:21:42,5.165,1.185,93.649,0,0,0,0,1574408192,13765537792,10678272,1015562240,0,0,
17-11 13:21:43,1.593,0.587,97.737,0.084,0,73728,172032,1574887424,13765013504,10711040,1015570432,0,0,
17-11 13:21:44,1.090,0.754,98.156,0,0,0,49152,1574891520,13765005312,10711040,1015574528,0,0,
17-11 13:21:45,5.100,1.589,93.227,0.084,0,425984,196608,1573130240,13766537216,10719232,1015795712,0,0,
17-11 13:21:46,1.010,0.673,98.316,0,0,0,0,1574629376,13765038080,10719232,1015795712,0,0,
17-11 13:21:47,24.255,5.191,70.468,0.085,0,65536,294912,1574641664,13764980736,10727424,1015832576,0,0,
17-11 13:21:48,1.091,0.503,98.406,0,0,0,24576,1574649856,13764972544,10727424,1015832576,0,0,
17-11 13:21:49,3.347,1.339,95.314,0,0,8192,303104,1574633472,13764972544,10743808,1015832576,0,0,
17-11 13:21:50,30.371,5.867,63.676,0.086,0,147456,65536,1574838272,13764689920,10752000,1015902208,0,0,
17-11 13:21:51,15.892,2.790,81.319,0,0,0,212992,1575346176,13764173824,10752000,1015910400,0,0,
17-11 13:21:52,1.347,0.758,97.896,0,0,0,0,1575337984,13764182016,10752000,1015910400,0,0,
17-11 13:21:53,16.948,3.794,79.174,0.084,0,0,221184,1575059456,13764448256,10760192,1015914496,0,0,
17-11 13:21:54,3.188,1.174,95.638,0,0,0,24576,1574551552,13764956160,10764288,1015910400,0,0,
17-11 13:21:55,1.431,0.505,98.064,0,0,0,221184,1571962880,13767528448,10772480,1015918592,0,0,
17-11 13:21:56,9.030,2.425,88.545,0,0,0,0,1572986880,13766504448,10772480,1015918592,0,0,
17-11 13:21:57,1.590,0.669,97.573,0.167,0,32768,204800,1573556224,13765922816,10788864,1015906304,0,0,
17-11 13:21:58,12.207,3.344,84.448,0,0,16384,24576,1573552128,13765906432,10788864,1015926784,0,0,
17-11 13:21:59,1.591,1.089,97.320,0,0,1744896,196608,1574465536,13764124672,10821632,1016762368,0,0,
17-11 13:22:00,2.848,0.921,96.147,0.084,0,0,114688,1574490112,13764083712,10829824,1016770560,0,0,
17-11 13:22:01,1.681,0.504,97.815,0,0,0,294912,1574768640,13763776512,10838016,1016791040,0,0,
17-11 13:22:02,6.166,2.027,91.807,0,0,0,49152,1575014400,13763510272,10838016,1016791040,0,0,
17-11 13:22:03,1.339,0.586,97.992,0.084,0,0,229376,1574993920,13763510272,10846208,1016803328,0,0,
17-11 13:22:04,1.421,0.669,97.910,0,0,0,16384,1575010304,13763493888,10850304,1016799232,0,0,
17-11 13:22:05,17.848,3.003,79.149,0,0,147456,114688,1572847616,13765566464,10850304,1016889344,0,0,
17-11 13:22:06,1.174,1.006,97.821,0,0,0,0,1573855232,13764558848,10850304,1016889344,0,0,
17-11 13:22:07,12.111,3.112,84.693,0.084,0,114688,311296,1574350848,13763985408,10866688,1016950784,0,0,
17-11 13:22:08,2.181,0.671,97.064,0.084,0,0,24576,1561587712,13776748544,10866688,1016950784,0,0,
17-11 13:22:09,4.030,1.175,94.710,0.084,0,0,172032,1561178112,13777145856,10874880,1016954880,0,0,
17-11 13:22:10,14.559,3.494,81.947,0,0,0,172032,1560645632,13777661952,10883072,1016963072,0,0,
17-11 13:22:11,1.421,0.836,97.742,0,0,0,221184,1560616960,13777678336,10891264,1016967168,0,0,
17-11 13:22:12,18.855,4.377,76.684,0.084,0,24576,49152,1560944640,13777338368,10891264,1016967168,0,0,
17-11 13:22:13,14.093,2.954,82.954,0,0,0,163840,1560662016,13777596416,10891264,1016991744,0,0,
17-11 13:22:14,1.340,0.503,98.157,0,0,0,0,1560686592,13777571840,10891264,1016991744,0,0,
17-11 13:22:15,4.614,1.594,93.708,0.084,0,0,401408,1556316160,13781909504,10907648,1017004032,0,0,
17-11 13:22:16,2.089,0.835,97.076,0,0,0,0,1559654400,13778571264,10907648,1017004032,0,0,
17-11 13:22:17,15.167,3.167,81.583,0.083,0,0,106496,1559687168,13778538496,10907648,1017004032,0,0,
17-11 13:22:18,1.173,0.586,98.157,0.084,0,0,196608,1558884352,13779329024,10915840,1017008128,0,0,
17-11 13:22:19,1.504,0.752,97.744,0,0,0,106496,1558892544,13779320832,10915840,1017008128,0,0,
17-11 13:22:20,31.361,6.340,62.215,0.085,0,8192,114688,1558622208,13779587072,10919936,1017008128,0,0,
17-11 13:22:21,5.640,1.431,92.845,0.084,0,0,368640,1559101440,13779079168,10944512,1017012224,0,0,
17-11 13:22:22,1.342,0.503,98.154,0,0,0,98304,1559351296,13778812928,10944512,1017020416,0,0,
17-11 13:22:23,1.176,0.672,98.151,0,0,0,196608,1559334912,13778812928,10952704,1017028608,0,0,
17-11 13:22:24,0.837,0.586,98.577,0,0,0,0,1559601152,13778546688,10952704,1017028608,0,0,
17-11 13:22:25,26.655,5.008,68.251,0.085,0,49152,139264,1556021248,13782118400,10952704,1017040896,0,0,
17-11 13:22:26,19.484,3.497,76.853,0.167,0,65536,0,1558405120,13779677184,10952704,1017085952,0,0,
17-11 13:22:27,1.427,0.840,97.649,0.084,0,0,180224,1558728704,13779345408,10960896,1017090048,0,0,
17-11 13:22:28,15.212,3.159,81.546,0.083,0,0,106496,1559236608,13778829312,10960896,1017098240,0,0,
17-11 13:22:29,2.252,0.751,96.914,0.083,0,0,188416,1559982080,13778055168,10969088,1017114624,0,0,
17-11 13:22:30,0.839,0.587,98.490,0.084,0,0,139264,1559982080,13778055168,10977280,1017106432,0,0,
17-11 13:22:31,3.440,0.839,95.638,0.084,0,0,229376,1559957504,13778055168,10985472,1017122816,0,0,
17-11 13:22:32,1.172,1.004,97.824,0,0,0,49152,1559973888,13778022400,10985472,1017122816,0,0,
17-11 13:22:33,27.342,5.537,67.036,0.085,0,0,270336,1559711744,13778272256,11001856,1017118720,0,0,
