

"Host:","peer17",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-128k-smart-64k-lsfs-peer17.dstat.csv",,,,"Date:","17 Nov 2022 16:30:38 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
17-11 16:31:33,45.391,15.304,37.739,1.565,0,0,82706432,788303872,13072412672,617316352,1724919808,0,0,
17-11 16:31:34,41.918,14.565,41.385,2.131,0,8192,73744384,786792448,13066506240,617402368,1732026368,0,0,
17-11 16:31:35,50,12.252,37.748,0,0,0,0,787484672,13051015168,617402368,1746763776,0,0,
17-11 16:31:36,45.234,13.518,40.728,0.520,0,0,26157056,788271104,13033558016,617431040,1763147776,0,0,
17-11 16:31:37,45.754,12.132,41.075,1.040,0,0,60997632,787525632,13022097408,617500672,1774579712,0,0,
17-11 16:31:38,44.839,12.690,42.470,0,0,0,0,787812352,13008171008,617500672,1788162048,0,0,
17-11 16:31:39,46.644,12.220,40.792,0.344,0,8192,34955264,791019520,12986179584,617558016,1806389248,0,0,
17-11 16:31:40,42.593,15.370,40.556,1.481,0,8192,178823168,789524480,12958928896,617816064,1833897984,0,0,
17-11 16:31:41,30.616,20.833,39.312,9.239,0,49152,740188160,790441984,12936847360,618602496,1852559360,0,0,
17-11 16:31:42,39.572,10.695,49.733,0,0,0,0,788140032,12926525440,618602496,1865052160,0,0,
17-11 16:31:43,44.828,14.483,39.138,1.552,0,0,78217216,790417408,12894187520,618672128,1894719488,0,0,
17-11 16:31:44,44.599,13.066,41.463,0.871,0,0,9027584,787275776,12929024000,618688512,1863417856,0,0,
17-11 16:31:45,45.608,12.838,41.385,0.169,0,0,155648,788058112,12914573312,618696704,1877118976,0,0,
17-11 16:31:46,44.231,11.713,43.357,0.699,0,8192,78184448,787030016,12899442688,618811392,1892241408,0,0,
17-11 16:31:47,44.352,14.120,41.362,0.166,0,0,26075136,785829888,12888702976,618835968,1903976448,0,0,
17-11 16:31:48,45.111,12.007,42.882,0,0,0,0,786468864,12873752576,618835968,1918205952,0,0,
17-11 16:31:49,43.409,14.938,38.137,3.515,0,8192,152223744,787619840,12822835200,618999808,1966792704,0,0,
17-11 16:31:50,42.531,16.872,36.204,4.394,0,8192,174972928,788774912,12845121536,619266048,1942675456,0,0,
17-11 16:31:51,46.564,10.653,42.784,0,0,0,16384,786849792,12833542144,619266048,1956360192,0,0,
17-11 16:31:52,45.118,12.121,42.424,0.337,0,0,17768448,787582976,12815220736,619290624,1973727232,0,0,
17-11 16:31:53,46.820,15.018,35.512,2.650,0,8192,121880576,788103168,12804026368,619454464,1983516672,0,0,
17-11 16:31:54,48.993,13.087,37.919,0,0,0,0,787251200,12789309440,619454464,1998770176,0,0,
17-11 16:31:55,48.077,12.413,39.161,0.350,0,0,34914304,788869120,12772118528,619515904,2013786112,0,0,
17-11 16:31:56,44.621,16.755,37.213,1.411,0,8192,190521344,787484672,12759937024,619708416,2026131456,0,0,
17-11 16:31:57,46.791,13.345,39.865,0,0,0,0,787197952,12745469952,619708416,2040946688,0,0,
17-11 16:31:58,46.312,13.379,39.280,1.029,0,0,65363968,788226048,12723109888,619802624,2061520896,0,0,
17-11 16:31:59,39.076,14.210,44.227,2.487,0,8192,130359296,788488192,12717436928,619962368,2066546688,0,0,
17-11 16:32:00,46.970,12.626,40.404,0,0,0,114688,789639168,12701696000,619966464,2080841728,0,0,
17-11 16:32:01,44.991,14.026,40.437,0.546,0,0,56582144,788561920,12687245312,620015616,2095964160,0,0,
17-11 16:32:02,40.253,14.801,43.502,1.444,0,8192,169631744,790118400,12673642496,620290048,2107023360,0,0,
17-11 16:32:03,44.082,12.007,43.911,0,0,0,0,788402176,12661084160,620290048,2121179136,0,0,
17-11 16:32:04,46.848,13.288,39.523,0.341,0,8192,17506304,788852736,12645085184,620310528,2136420352,0,0,
17-11 16:32:05,43.794,14.007,40.248,1.950,0,0,106209280,788066304,12624908288,620462080,2156400640,0,0,
17-11 16:32:06,51.130,11.130,37.391,0.348,0,0,23429120,788611072,12617134080,620511232,2163568640,0,0,
17-11 16:32:07,46.610,11.525,41.695,0.169,0,0,8749056,788779008,12602941440,620519424,2177449984,0,0,
17-11 16:32:08,41.638,14.460,43.031,0.871,0,8192,120463360,789454848,12587700224,620695552,2191319040,0,0,
17-11 16:32:09,43.540,12.389,43.894,0.177,0,0,21127168,789155840,12575297536,620736512,2203594752,0,0,
17-11 16:32:10,45.310,11.858,42.478,0.354,0,0,21348352,791728128,12558499840,620773376,2217549824,0,0,
