

"Host:","peer7",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_off-lsfs-peer7.dstat.csv",,,,"Date:","29 Nov 2022 11:49:23 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-11 11:50:18,28.283,4.040,67.677,0,0,0,0,772124672,13269409792,984817664,1148837888,0,0,
29-11 11:50:19,26.765,3.777,69.458,0,0,0,0,772288512,13268844544,984817664,1149173760,0,0,
29-11 11:50:20,24.830,3.231,71.769,0.170,0,0,106496,772689920,13267955712,984817664,1149562880,0,0,
29-11 11:50:21,28.197,3.279,68.525,0,0,0,0,773144576,13267181568,984817664,1149882368,0,0,
29-11 11:50:22,26.878,3.506,69.449,0.167,0,0,196608,773582848,13266391040,984821760,1150214144,0,0,
29-11 11:50:23,26.833,4.167,69,0,0,0,0,773677056,13265858560,984821760,1150636032,0,0,
29-11 11:50:24,27.348,3.624,69.028,0,0,0,0,774082560,13265084416,984821760,1151004672,0,0,
29-11 11:50:25,27.592,3.010,69.398,0,0,0,0,774709248,13264052224,984821760,1151406080,0,0,
29-11 11:50:26,29.587,4.463,65.785,0.165,0,0,204800,776650752,13261746176,984821760,1151766528,0,0,
29-11 11:50:27,27.332,2.782,69.722,0.164,0,0,131072,776564736,13261447168,984821760,1152139264,0,0,
29-11 11:50:28,26.087,3.846,70.067,0,0,0,0,776953856,13260640256,984821760,1152520192,0,0,
29-11 11:50:29,27.695,3.151,69.154,0,0,0,0,777121792,13260107776,984821760,1152864256,0,0,
29-11 11:50:30,26.167,3.500,70.333,0,0,0,0,777355264,13259542528,984821760,1153142784,0,0,
29-11 11:50:31,28.943,3.089,67.967,0,0,0,188416,778059776,13258477568,984821760,1153470464,0,0,
29-11 11:50:32,28.856,2.985,67.828,0.332,0,0,196608,778244096,13257961472,984821760,1153802240,0,0,
29-11 11:50:33,28.243,2.956,68.801,0,0,0,0,778833920,13256929280,984821760,1154232320,0,0,
29-11 11:50:34,25.461,3.015,71.524,0,0,0,0,779022336,13256413184,984821760,1154551808,0,0,
29-11 11:50:35,28.007,2.801,69.193,0,0,0,0,780234752,13254864896,984821760,1154883584,0,0,
29-11 11:50:36,28.548,4.405,66.884,0.163,0,0,172032,780148736,13254598656,984821760,1155223552,0,0,
29-11 11:50:37,26.218,3.025,70.756,0,0,0,131072,781037568,13253292032,984825856,1155608576,0,0,
29-11 11:50:38,28.760,4.132,67.107,0,0,0,0,781066240,13252775936,984825856,1156067328,0,0,
29-11 11:50:39,27.575,2.990,69.435,0,0,0,0,781524992,13251936256,984825856,1156395008,0,0,
29-11 11:50:40,26.853,3.789,69.357,0,0,0,0,781717504,13251403776,984825856,1156694016,0,0,
29-11 11:50:41,27.614,3.268,68.954,0.163,0,0,475136,782397440,13250371584,984825856,1157033984,0,0,
29-11 11:50:42,27.154,3.740,68.943,0.163,0,0,196608,782589952,13249839104,984825856,1157345280,0,0,
29-11 11:50:43,27.695,4.146,68.159,0,0,0,22331392,782663680,13249290240,984825856,1157791744,0,0,
29-11 11:50:44,26.182,2.703,71.115,0,0,0,0,782557184,13249015808,984825856,1158148096,0,0,
29-11 11:50:45,26.929,3.448,69.622,0,0,0,0,783503360,13247725568,984825856,1158475776,0,0,
29-11 11:50:46,29.016,3.279,67.377,0.328,0,0,385024,785170432,13245661184,984825856,1158852608,0,0,
29-11 11:50:47,27.861,2.985,69.154,0,0,0,155648,785543168,13244837888,984825856,1159262208,0,0,
29-11 11:50:48,28.736,3.448,67.816,0,0,0,40960,785874944,13244014592,984825856,1159688192,0,0,
29-11 11:50:49,28.027,2.985,68.988,0,0,0,0,786509824,13242982400,984825856,1160077312,0,0,
29-11 11:50:50,26.853,2.965,70.181,0,0,0,0,786685952,13242466304,984825856,1160413184,0,0,
29-11 11:50:51,27.121,3.161,69.551,0.166,0,0,172032,787042304,13241643008,984825856,1160822784,0,0,
29-11 11:50:52,26.678,2.517,70.638,0.168,0,0,196608,787386368,13240836096,984829952,1161228288,0,0,
29-11 11:50:53,30.049,3.120,66.831,0,0,0,0,788779008,13239013376,984829952,1161633792,0,0,
29-11 11:50:54,25.497,3.477,71.026,0,0,0,0,789188608,13238222848,984829952,1161986048,0,0,
29-11 11:50:55,27.741,2.492,69.767,0,0,0,0,789606400,13237448704,984829952,1162317824,0,0,
29-11 11:50:56,26.218,3.697,70.084,0,0,0,0,791105536,13235576832,984829952,1162686464,0,0,
29-11 11:50:57,26.333,3.833,69.500,0.333,0,0,212992,791195648,13235060736,984834048,1163112448,0,0,
29-11 11:50:58,28.666,3.954,67.381,0,0,0,0,791912448,13234012160,984834048,1163423744,0,0,
29-11 11:50:59,27.288,3.161,69.551,0,0,0,0,792051712,13233512448,984834048,1163780096,0,0,
29-11 11:51:00,27.592,3.177,69.231,0,0,0,0,792707072,13232463872,984834048,1164173312,0,0,
29-11 11:51:01,27.713,2.337,69.950,0,0,0,0,793395200,13231431680,984834048,1164513280,0,0,
29-11 11:51:02,28,2.333,69.500,0.167,0,0,204800,793518080,13230899200,984838144,1164890112,0,0,
29-11 11:51:03,28.084,5.844,65.909,0.162,0,0,65536,794247168,13229850624,984838144,1165189120,0,0,
29-11 11:51:04,28.501,2.636,68.863,0,0,0,0,794103808,13229592576,984838144,1165586432,0,0,
29-11 11:51:05,23.898,3.390,72.712,0,0,0,0,794529792,13228802048,984838144,1165930496,0,0,
29-11 11:51:06,29.489,3.460,67.051,0,0,0,0,796692480,13226254336,984838144,1166315520,0,0,
29-11 11:51:07,26.678,3.601,69.722,0,0,0,139264,797630464,13224964096,984842240,1166651392,0,0,
29-11 11:51:08,29.305,2.483,68.212,0,0,0,0,797757440,13224448000,984842240,1167028224,0,0,
29-11 11:51:09,27.888,3.300,68.647,0.165,0,0,57344,797597696,13224189952,984842240,1167441920,0,0,
29-11 11:51:10,27.961,2.796,69.243,0,0,0,0,798031872,13223399424,984842240,1167773696,0,0,
29-11 11:51:11,26.821,2.483,70.695,0,0,0,0,797777920,13223399424,984842240,1168027648,0,0,
29-11 11:51:12,25.539,3.648,70.481,0.332,0,0,204800,798212096,13222608896,984842240,1168359424,0,0,
29-11 11:51:13,26.116,3.636,70.248,0,0,0,22544384,798117888,13222252544,984842240,1168797696,0,0,
29-11 11:51:14,26.821,3.477,69.702,0,0,0,73728,798785536,13221220352,984842240,1169158144,0,0,
29-11 11:51:15,27.104,3.030,69.865,0,0,0,0,798728192,13220962304,984842240,1169461248,0,0,
29-11 11:51:16,26.891,4.034,69.076,0,0,0,0,799789056,13219540992,984842240,1169813504,0,0,
29-11 11:51:17,27.609,2.525,69.529,0.337,0,0,393216,799997952,13218889728,984846336,1170219008,0,0,
29-11 11:51:18,28.073,4.651,67.276,0,0,0,49152,800587776,13217865728,984846336,1170632704,0,0,
29-11 11:51:19,26.480,3.618,69.901,0,0,0,57344,800751616,13217341440,984846336,1170976768,0,0,
29-11 11:51:20,26.254,3.010,70.736,0,0,0,0,801357824,13216309248,984846336,1171386368,0,0,
29-11 11:51:21,27.603,2.810,69.587,0,0,0,0,801185792,13216034816,984846336,1171804160,0,0,
29-11 11:51:22,22.957,2.435,74.087,0.522,0,0,499712,801120256,13215776768,984850432,1172119552,0,0,
29-11 11:51:23,27.592,3.177,69.231,0,0,0,0,801509376,13215002624,984850432,1172500480,0,0,
29-11 11:51:24,26.723,3.025,70.252,0,0,0,253952,801951744,13214195712,984850432,1172828160,0,0,
29-11 11:51:25,29.489,2.801,67.710,0,0,0,0,801808384,13213937664,984850432,1173221376,0,0,
29-11 11:51:26,26.756,3.177,70.067,0,0,0,0,803147776,13212299264,984850432,1173499904,0,0,
29-11 11:51:27,26.866,2.985,69.983,0.166,0,0,139264,803131392,13211848704,984850432,1173962752,0,0,
29-11 11:51:28,28.053,3.300,68.647,0,0,0,0,803811328,13210816512,984850432,1174310912,0,0,
29-11 11:51:29,26.555,3.866,69.580,0,0,0,106496,804229120,13210058752,984850432,1174634496,0,0,
29-11 11:51:30,27.197,3.483,69.320,0,0,0,0,804401152,13209526272,984850432,1174978560,0,0,
29-11 11:51:31,24.832,3.356,71.812,0,0,0,0,804757504,13208752128,984850432,1175392256,0,0,
29-11 11:51:32,26.043,3.506,70.117,0.334,0,0,221184,805240832,13207994368,984850432,1175662592,0,0,
29-11 11:51:33,28.407,3.612,67.980,0,0,0,0,805044224,13207719936,984850432,1176125440,0,0,
29-11 11:51:34,27.138,3.618,69.243,0,0,0,90112,805490688,13206945792,984850432,1176444928,0,0,
29-11 11:51:35,27.136,2.848,70.017,0,0,0,0,806121472,13205913600,984850432,1176842240,0,0,
29-11 11:51:36,25.464,3.710,70.826,0,0,0,0,809119744,13202558976,984850432,1177190400,0,0,
29-11 11:51:37,25.338,2.703,71.791,0.169,0,0,524288,808726528,13202591744,984862720,1177538560,0,0,
29-11 11:51:38,27.121,3.328,69.551,0,0,0,0,809185280,13201809408,984862720,1177849856,0,0,
29-11 11:51:39,28.524,2.985,68.491,0,0,0,32768,809500672,13201043456,984862720,1178284032,0,0,
29-11 11:51:40,28.500,2.333,69,0.167,0,0,163840,809160704,13201010688,984862720,1178611712,0,0,
29-11 11:51:41,28.027,1.327,70.647,0,0,0,0,809807872,13199978496,984862720,1178988544,0,0,
29-11 11:51:42,27.621,3.328,68.719,0.333,0,0,229376,810561536,13198929920,984862720,1179262976,0,0,
29-11 11:51:43,26.853,3.954,69.193,0,0,0,0,811458560,13197656064,984862720,1179627520,0,0,
29-11 11:51:44,26.711,2.671,70.618,0,0,0,22233088,812195840,13196623872,984862720,1179918336,0,0,
29-11 11:51:45,27,3.500,69.333,0.167,0,0,57344,812281856,13196107776,984862720,1180323840,0,0,
29-11 11:51:46,27.422,3.777,68.801,0,0,0,0,813080576,13194817536,984862720,1180807168,0,0,
29-11 11:51:47,25.970,3.035,70.826,0.169,0,0,172032,813805568,13193801728,984862720,1181085696,0,0,
29-11 11:51:48,28.454,3.947,67.599,0,0,0,0,814260224,13193011200,984862720,1181413376,0,0,
29-11 11:51:49,26.610,3.220,70.169,0,0,0,16384,814321664,13192511488,984862720,1181843456,0,0,
29-11 11:51:50,27.018,4.778,68.204,0,0,0,65536,814510080,13191979008,984862720,1182175232,0,0,
29-11 11:51:51,26.987,2.815,70.199,0,0,0,0,815316992,13190938624,984862720,1182404608,0,0,
29-11 11:51:52,25.083,3.156,71.595,0.166,0,0,221184,815435776,13190430720,984862720,1182773248,0,0,
29-11 11:51:53,27.529,2.985,69.486,0,0,0,49152,815333376,13190172672,984862720,1183129600,0,0,
29-11 11:51:54,27.852,2.852,69.295,0,0,0,16384,815808512,13189398528,984862720,1183424512,0,0,
29-11 11:51:55,28.846,4.006,66.987,0.160,0,0,65536,815939584,13188882432,984862720,1183801344,0,0,
29-11 11:51:56,27.815,4.139,68.046,0,0,0,0,818163712,13186301952,984862720,1184137216,0,0,
29-11 11:51:57,25,3.477,71.358,0.166,0,0,155648,818307072,13185785856,984866816,1184501760,0,0,
29-11 11:51:58,28.501,2.965,68.534,0,0,0,0,818475008,13185253376,984866816,1184841728,0,0,
29-11 11:51:59,24.916,3.344,71.739,0,0,0,49152,818688000,13184720896,984866816,1185136640,0,0,
29-11 11:52:00,25.914,2.658,71.429,0,0,0,0,818651136,13184462848,984866816,1185419264,0,0,
29-11 11:52:01,27.152,2.483,70.033,0.331,0,0,81920,819499008,13183156224,984866816,1185853440,0,0,
29-11 11:52:02,26.466,2.513,71.022,0,0,0,221184,819589120,13182640128,984870912,1186271232,0,0,
29-11 11:52:03,26.910,2.658,70.100,0.332,0,0,8863744,820641792,13181075456,984883200,1186643968,0,0,
29-11 11:52:04,26.368,2.653,70.978,0,0,0,0,821387264,13180043264,984883200,1186926592,0,0,
29-11 11:52:05,27.059,3.529,69.244,0.168,0,0,8511488,821911552,13178961920,984887296,1187323904,0,0,
29-11 11:52:06,27.703,3.209,68.919,0.169,0,0,163840,821256192,13179219968,984887296,1187717120,0,0,
29-11 11:52:07,25.210,3.361,71.429,0,0,0,0,821743616,13178388480,984887296,1188061184,0,0,
29-11 11:52:08,28.428,3.010,68.562,0,0,0,0,822112256,13177671680,984887296,1188401152,0,0,
29-11 11:52:09,26.744,3.987,69.269,0,0,0,0,822046720,13177397248,984887296,1188716544,0,0,
29-11 11:52:10,24.621,4.216,70.995,0.169,0,0,188416,822128640,13176881152,984891392,1189146624,0,0,
29-11 11:52:11,26.307,2.024,71.669,0,0,0,0,822837248,13175848960,984891392,1189462016,0,0,
29-11 11:52:12,27.349,2.517,69.966,0.168,0,0,139264,823275520,13175074816,984891392,1189789696,0,0,
29-11 11:52:13,27.888,3.300,68.812,0,0,0,0,822947840,13175074816,984891392,1190092800,0,0,
29-11 11:52:14,27.842,2.965,69.193,0,0,0,0,822996992,13174542336,984891392,1190567936,0,0,
29-11 11:52:15,26.350,3.437,70.049,0.164,0,0,18661376,822988800,13174284288,984891392,1190821888,0,0,
29-11 11:52:16,27.018,3.789,69.193,0,0,0,0,825405440,13171445760,984891392,1191231488,0,0,
29-11 11:52:17,24.708,2.337,72.788,0.167,0,0,49152,825360384,13171138560,984891392,1191546880,0,0,
29-11 11:52:18,26.833,3.833,69.333,0,0,0,0,825806848,13170380800,984891392,1191837696,0,0,
29-11 11:52:19,27.213,4.098,68.689,0,0,0,0,825962496,13169864704,984891392,1192185856,0,0,
29-11 11:52:20,26.043,3.673,70.117,0.167,0,0,131072,826474496,13169090560,984891392,1192443904,0,0,
29-11 11:52:21,24.669,3.642,71.689,0,0,0,0,826834944,13168316416,984891392,1192837120,0,0,
29-11 11:52:22,24.664,3.523,71.644,0.168,0,0,139264,826765312,13168058368,984891392,1193152512,0,0,
29-11 11:52:23,27.731,2.689,69.580,0,0,0,0,827359232,13167026176,984891392,1193574400,0,0,
29-11 11:52:24,25.833,3,71.167,0,0,0,0,827318272,13166768128,984891392,1193869312,0,0,
29-11 11:52:25,25.593,2.712,71.525,0.169,0,0,139264,827428864,13166252032,984891392,1194270720,0,0,
29-11 11:52:26,28.079,4.433,67.488,0,0,0,0,828522496,13164806144,984891392,1194618880,0,0,
29-11 11:52:27,26.744,3.322,69.934,0,0,0,0,828534784,13164412928,984891392,1194991616,0,0,
29-11 11:52:28,29.654,2.965,67.381,0,0,0,65536,829071360,13163638784,984891392,1195229184,0,0,
29-11 11:52:29,26.218,3.025,70.756,0,0,0,0,829403136,13162864640,984891392,1195655168,0,0,
29-11 11:52:30,27.318,2.483,70.033,0.166,0,0,139264,829706240,13162074112,984891392,1196109824,0,0,
29-11 11:52:31,26.700,2.985,70.315,0,0,0,0,830103552,13161316352,984891392,1196462080,0,0,
29-11 11:52:32,26.733,2.475,70.627,0.165,0,0,65536,830263296,13156896768,984891392,1200697344,0,0,
29-11 11:52:33,27.107,3.306,69.421,0.165,0,0,8486912,831324160,13159219200,984891392,1197195264,0,0,
29-11 11:52:34,24.161,3.188,72.483,0.168,0,0,98304,831967232,13158187008,984891392,1197576192,0,0,
29-11 11:52:35,27.150,2.698,69.983,0.169,0,0,11337728,830529536,13159170048,984899584,1197879296,0,0,
29-11 11:52:36,26.756,2.508,70.736,0,0,0,0,828776448,13160435712,984899584,1198325760,0,0,
29-11 11:52:37,24.585,2.990,72.425,0,0,0,0,828915712,13159919616,984899584,1198698496,0,0,
29-11 11:52:38,26.333,2.667,71,0,0,0,0,829345792,13159145472,984899584,1199042560,0,0,
29-11 11:52:39,26.281,3.471,70.083,0.165,0,0,368640,829984768,13158129664,984899584,1199398912,0,0,
29-11 11:52:40,26.923,3.679,69.398,0,0,0,245760,831422464,13156306944,984903680,1199779840,0,0,
29-11 11:52:41,26.230,3.115,70.656,0,0,0,0,831598592,13155782656,984903680,1200119808,0,0,
29-11 11:52:42,25.415,2.326,72.093,0.166,0,0,65536,831242240,13155790848,984903680,1200463872,0,0,
29-11 11:52:43,27.869,3.115,69.016,0,0,0,0,831418368,13155258368,984903680,1200816128,0,0,
29-11 11:52:44,26.689,2.801,70.346,0.165,0,0,114688,831500288,13154758656,984903680,1201229824,0,0,
29-11 11:52:45,28.595,3.306,67.934,0.165,0,0,22298624,832012288,13153693696,984907776,1201635328,0,0,
29-11 11:52:46,25.845,3.041,70.608,0.507,0,0,17031168,832593920,13152370688,984915968,1202110464,0,0,
29-11 11:52:47,26.524,2.636,70.840,0,0,0,0,832659456,13152047104,984915968,1202364416,0,0,
29-11 11:52:48,28.964,3.883,67.152,0,0,0,0,833261568,13151064064,984915968,1202733056,0,0,
29-11 11:52:49,25.371,3.954,70.675,0,0,0,0,833560576,13150306304,984915968,1203187712,0,0,
29-11 11:52:50,25.839,2.349,71.812,0,0,0,106496,833687552,13149790208,984915968,1203564544,0,0,
29-11 11:52:51,25.796,2.010,72.027,0.168,0,0,196608,833822720,13149274112,984920064,1203929088,0,0,
29-11 11:52:52,25.543,2.003,72.287,0.167,0,0,65536,833789952,13148999680,984920064,1204236288,0,0,
29-11 11:52:53,28.289,2.467,69.243,0,0,0,0,833769472,13147467776,984920064,1205788672,0,0,
29-11 11:52:54,26.898,2.805,69.802,0.495,0,0,16932864,835264512,13146660864,984924160,1204883456,0,0,
29-11 11:52:55,25,2.667,72.333,0,0,0,81920,834797568,13146660864,984924160,1205334016,0,0,
29-11 11:52:56,27.487,2.361,70.152,0,0,0,49152,835747840,13145427968,984924160,1205612544,0,0,
