timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/01/02 17:36:51.465, 10 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:36:52.466, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:36:53.467, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:36:54.469, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:36:55.470, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:36:56.471, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:36:57.472, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:36:58.473, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:36:59.475, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:00.476, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:01.477, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:02.478, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:03.480, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:04.482, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:05.484, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:06.486, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:07.488, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:08.490, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:09.492, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:10.494, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:11.496, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:12.498, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:13.500, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:14.502, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:15.504, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:16.506, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:17.508, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:18.510, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:19.512, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:20.514, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:21.516, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:22.518, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:23.520, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 17:37:24.522, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
