timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/01/02 17:05:55.804, 80 %, 61 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:05:56.806, 74 %, 56 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:05:57.808, 62 %, 49 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:05:58.810, 71 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:05:59.811, 65 %, 50 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:00.812, 74 %, 56 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:01.814, 74 %, 58 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:02.819, 44 %, 34 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:03.820, 52 %, 41 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:04.822, 68 %, 56 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:05.825, 70 %, 56 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:06.826, 66 %, 50 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:07.828, 75 %, 58 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:08.830, 54 %, 44 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:09.833, 77 %, 59 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:10.834, 71 %, 58 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:11.836, 47 %, 39 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:12.838, 60 %, 46 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:13.839, 66 %, 51 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:14.840, 76 %, 59 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:15.841, 68 %, 51 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:16.843, 70 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:17.844, 79 %, 63 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:18.845, 78 %, 61 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:19.847, 76 %, 58 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:20.849, 72 %, 57 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:21.852, 89 %, 69 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:22.853, 70 %, 53 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:23.855, 84 %, 66 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:24.857, 72 %, 56 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:25.860, 69 %, 53 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:26.862, 68 %, 51 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:27.863, 73 %, 56 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:28.865, 70 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:29.867, 72 %, 55 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:30.868, 72 %, 56 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:31.870, 75 %, 59 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:32.872, 70 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:33.873, 62 %, 50 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:34.875, 74 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:35.877, 68 %, 51 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:36.879, 86 %, 66 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:37.881, 91 %, 68 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:38.883, 67 %, 50 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:39.884, 0 %, 0 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:40.887, 73 %, 56 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:41.888, 64 %, 53 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:42.890, 63 %, 50 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:43.891, 75 %, 58 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:44.893, 73 %, 55 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:45.894, 75 %, 58 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:46.897, 78 %, 60 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:47.898, 66 %, 52 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:48.901, 70 %, 55 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:49.902, 75 %, 57 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:50.904, 61 %, 48 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:51.907, 71 %, 56 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:52.910, 68 %, 53 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:53.911, 71 %, 55 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:54.912, 70 %, 51 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:55.913, 66 %, 51 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:56.915, 71 %, 54 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:57.917, 62 %, 49 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:58.919, 69 %, 53 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:06:59.920, 72 %, 55 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:00.921, 65 %, 50 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:01.923, 68 %, 52 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:02.930, 63 %, 49 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:03.937, 61 %, 49 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:04.938, 55 %, 42 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:05.939, 66 %, 51 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:06.942, 65 %, 51 %, 15360 MiB, 458 MiB, 14451 MiB
2023/01/02 17:07:07.943, 73 %, 58 %, 15360 MiB, 458 MiB, 14451 MiB
