timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/01/02 18:03:32.697, 10 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:33.699, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:34.700, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:35.701, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:36.702, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:37.704, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:38.705, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:39.706, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:40.707, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:41.709, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:42.710, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:43.711, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:44.713, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:45.715, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:46.717, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:47.719, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:48.721, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:49.723, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:50.725, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:51.727, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:52.729, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:53.731, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:54.733, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:55.735, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:56.737, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:57.739, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:58.741, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
2023/01/02 18:03:59.743, 0 %, 0 %, 15360 MiB, 14910 MiB, 0 MiB
